age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
41,607744.9546135598,286008.7542883038,0.0,-54780.812118478614,231227.94216982517,231227.94216982517,376517.01244373457,993093.4039342582,993093.4039342582
42,632054.7527981021,286008.7542883038,0.0,-54124.31048364623,231884.44380465755,231884.44380465755,400170.30899344455,968761.8955686397,968761.8955686397
43,657336.9429100263,303426.6874244615,0.0,-70872.61195227492,232554.07547218655,232554.07547218655,424782.86743783974,926952.1404834241,926952.1404834241
44,683630.4206264273,303426.6874244615,0.0,-70189.5876513953,233237.09977306618,233237.09977306618,450393.3208533611,884571.1170465315,884571.1170465315
45,710975.6374514845,321905.37268861115,0.0,315788.9133685912,637694.2860572024,637694.2860572024,73281.35139428207,1226897.1639265188,1226897.1639265188
46,739414.6629495439,321905.37268861115,0.0,-87260.96964601267,234644.40304259848,234644.40304259848,504770.2599069454,1176443.1091983018,1176443.1091983018
47,768991.2494675256,341509.4098853476,0.0,-106140.17599046126,235369.23389488633,235369.23389488633,533622.0155726393,1105596.2264837897,1105596.2264837897
48,799750.8994462267,341509.4098853476,0.0,-105400.84852112766,236108.56136421993,236108.56136421993,563642.3380820067,1033363.2647571759,1033363.2647571759
49,831740.9354240757,362307.33294736524,0.0,-125444.657564425,236862.67538294024,236862.67538294024,594878.2600411355,938919.5051354662,938919.5051354662
50,865010.5728410388,362307.33294736524,0.0,-124675.46126533035,237631.8716820349,237631.8716820349,627378.7011590039,842411.6290241999,842411.6290241999
51,899610.9957546804,384371.8495238598,0.0,-145955.39761674832,238416.45190711148,238416.45190711148,661194.5438475689,721728.5802781776,721728.5802781776
52,935595.4355848677,384371.8495238598,0.0,-145155.12578717023,239216.72373668957,239216.72373668957,696378.7118481782,598225.3118993527,598225.3118993527
53,973019.2530082624,407780.0951598628,0.0,-167747.0941570035,240033.00100285927,240033.00100285927,732986.2520054032,448424.97709932976,448424.97709932976
54,1011940.023128593,407780.0951598628,0.0,-166914.49134551047,240865.6038143523,240865.6038143523,771074.4193142407,294963.2350667992,294963.2350667992
55,1052417.6240537367,432613.9029550984,0.0,-190899.0442730232,241714.85868207522,241714.85868207522,810702.7653716614,112913.08784578001,112913.08784578001
56,1094514.3290158862,432613.9029550984,0.0,-190032.80430794583,242581.0986471526,242581.0986471526,851933.2303687336,-73732.32382679242,-73732.32382679242
57,1138294.9021765217,458960.0896450639,0.0,-215495.4262335324,243464.6634115315,243464.6634115315,894830.2387649901,-291439.7197751286,-291439.7197751286
58,1183826.6982635825,458960.0896450639,0.0,-214594.19017386588,244365.89947119803,244365.89947119803,939460.7987923844,-514777.10154224833,-514777.10154224833
59,1231179.766194126,486910.7591044483,0.0,-241625.59885239045,245285.16025205786,245285.16025205786,985894.6059420682,-771846.0134409062,-771846.0134409062
60,1280426.956841891,486910.7591044483,0.0,104317.66194688663,591228.4210513349,591228.4210513349,689198.5357905559,-690683.7318972468,-690683.7318972468
61,1331644.0351155666,516563.6243339092,0.0,-467787.279597174,48776.34473673514,48776.34473673516,1282867.6903788312,-1179191.5234513383,-1179191.5234513383
62,1384909.7965201894,516563.6243339092,0.0,-466811.7527024393,49751.87163146984,49751.87163146987,1335157.9248887193,-1681379.021857318,-1681379.021857318
63,1440306.188380997,548022.3490558442,0.0,-497275.439991745,50746.909064099236,50746.90906409925,1389559.2793168977,-2229095.832504783,-2229095.832504783
64,1497918.4359162368,548022.3490558442,0.0,-496260.501810463,51761.84724538123,51761.847245381214,1446156.5886708556,-2792229.2092903894,-2792229.2092903894
65,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,-3457392.9956824463,-3457392.9956824463
66,0.0,581396.9101133451,0.0,0.0,0.0,581396.9101133451,-581396.9101133451,-4142511.6956662647,-4142511.6956662647
67,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,-4883591.028475501,-4883591.028475501
68,0.0,616803.9819392478,0.0,0.0,0.0,616803.9819392478,-616803.9819392478,-5646902.741269014,-5646902.741269014
69,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,-6470677.167946433,-6470677.167946433
70,0.0,654367.344439348,0.0,0.0,0.0,654367.344439348,-654367.344439348,-7319164.827424174,-7319164.827424174
71,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,-8232958.087962604,-8232958.087962604
72,0.0,694218.3157157043,0.0,0.0,0.0,694218.3157157043,-694218.3157157043,-9174165.146317186,-9174165.146317186
73,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,-10185886.311849494,-10185886.311849494
74,0.0,736496.2111427907,0.0,0.0,0.0,736496.2111427907,-736496.2111427907,-11227959.11234777,-11227959.11234777
75,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,-12346146.716119591,-12346146.716119591
76,0.0,781348.8304013866,0.0,0.0,0.0,781348.8304013866,-781348.8304013866,-13497879.948004566,-13497879.948004566
77,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,-14731749.320617534,-14731749.320617534
78,0.0,828932.9741728309,0.0,0.0,0.0,828932.9741728309,-828932.9741728309,-16002634.774408892,-16002634.774408892
79,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,-17362128.809941117,-17362128.809941117
80,0.0,879414.9922999563,0.0,0.0,0.0,879414.9922999563,-879414.9922999563,-18762407.666539308,-18762407.666539308
81,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,-20258251.26186651,-20258251.26186651
82,0.0,932971.3653310236,0.0,0.0,0.0,932971.3653310236,-932971.3653310236,-21798970.16505353,-21798970.16505353
83,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,-23442728.59148482,-23442728.59148482
84,0.0,989789.3214796828,0.0,0.0,0.0,989789.3214796828,-989789.3214796828,-25135799.770709045,-25135799.770709045
85,0.0,1050067.4911577955,0.0,0.0,0.0,1050067.4911577955,-1050067.4911577955,-26939941.254988115,-26939941.254988115
